label,method,source,start_name,plot_iteration,solver_iteration,stage,objective,l2_h,max_abs_h,load_supplied_pct
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,104,104,rho=1e+02,0.25050585477867104,0.05295753533877258,0.017808284813853104,82.34777626413872
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,105,105,rho=1e+02,0.25050707317861065,0.052957305244616434,0.01780763886401228,82.34800895722299
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,106,106,rho=1e+02,0.25050921060936254,0.05295690143092432,0.017806919747803074,82.34778156099786
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,107,107,rho=1e+02,0.25051160632124125,0.05295644888663496,0.017806445408634686,82.34768853830411
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,108,108,rho=1e+02,0.2505118101171881,0.05295641034995223,0.017806497809161714,82.34780732283325
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,109,109,rho=1e+02,0.25051656478770357,0.052955512393333216,0.017805860049232625,82.34796246227418
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,110,110,rho=1e+02,0.2505155341352808,0.052955707005202184,0.017806036648507606,82.34792605342453
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,111,111,rho=1e+02,0.25051783869742345,0.052955271780125476,0.01780571791733171,82.34786712990142
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,112,112,rho=1e+02,0.25051973983386056,0.05295491274062701,0.017805521548745817,82.34793650072777
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,113,113,rho=1e+02,0.25052186987355435,0.05295451045881925,0.017805493964848818,82.34839819735188
